bioID,college,collegeOther,pos,height_cm,weight_kg,birth_date,birth_year
wintebr01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
wirthch01w,Vanderbilt,Unknown,F,185.42000000000002,83.91452,1987-04-18,1987.0
wisdoli01w,Purdue,Unknown,F,187.96,84.368112,1986-05-26,1986.0
witheso01w,Florida,Unknown,G,177.8,65.77083999999999,1969-07-06,1969.0
wojtaju01w,Wisconsin-Green_Bay,Unknown,G,182.88,79.3786,1989-04-09,1989.0
wolteka01w,Connecticut,Unknown,C,200.66,102.965384,1975-08-15,1975.0
wolvean01w,Oregon,Unknown,F,190.5,92.98636,1978-12-08,1978.0
woodaly01w,Kansas,Unknown,G,182.88,72.57472,1959-08-12,1959.0
woodki01w,Wisconsin-Green_Bay,Unknown,C,193.04,82.53850106222939,1972-09-16,1972.0
woolror01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
wooslti01w,Tennessee,Unknown,G,170.18,59.874144,1973-04-04,1973.0
wrighfa01w,San_Diego_State,Unknown,G,167.64000000000001,58.96696,1973-01-28,1973.0
wrighmo01w,Virginia,Unknown,G,180.34,80.739376,1988-07-15,1988.0
wrighsh01w,Purdue,Unknown,F,177.8,70.30676,1981-09-21,1981.0
wrighta01w,Penn_State,Unknown,G,180.34,74.84268,1983-11-20,1983.0
wyckobr01w,Florida_State,Unknown,F,185.42000000000002,83.007336,1980-03-30,1980.0
wynneda01w,Seton_Hall,Unknown,F,187.96,79.3786,1975-02-02,1975.0
yamasli01w,Stanford,Unknown,G,185.42000000000002,86.18248,1980-06-02,1980.0
yasenco01w,Purdue,Unknown,G,182.88,72.57472,1973-12-05,1973.0
yilmane01w,Unknown,Unknown,F,193.04,87.543256,1980-06-06,1980.0
youngca01w,Auburn,Unknown,G,175.26,79.3786,1969-07-28,1969.0
youngso01w,Baylor,Unknown,F,185.42000000000002,74.84268,1983-12-15,1983.0
youngta01w,James_Madison,Unknown,F,187.96,75.296272,1986-10-30,1986.0
zakalok01w,Unknown,Unknown,C,198.12,78.925008,1977-12-18,1977.0
zarafr01w,Unknown,Unknown,G,177.8,66.224432,1976-12-08,1976.0
zellosh01w,Pittsburgh,Unknown,G,177.8,70.30676,1986-08-28,1986.0
zhengha01w,Unknown,Unknown,C,203.2,115.212368,1967-03-07,1967.0
zierddo99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
zirkozu01w,Unknown,Unknown,G,175.26,65.77083999999999,1980-06-06,1980.0
zollsh01w,Virginia,Unknown,G,170.18,67.131616,1986-07-11,1986.0
